seed,variant,use_uniqueness_penalty,top_k,selected_edges,id_like_selected_edges,meaningful_selected_edges,id_like_ratio,meaningful_recall,accuracy,roc_auc,average_precision,log_loss,n_features
41,without_uniqueness_penalty,False,8,"[{""lhs"": ""row_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""region_risk"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""row_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""user_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_1"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_2"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_3"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""user_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}]",8,0,1.0,0.0,0.7416666666666667,0.7903515601321452,0.8443631559358225,0.5395994730902569,12
41,with_uniqueness_penalty,True,8,"[{""lhs"": ""region"", ""rhs"": ""region_risk"", ""score"": 0.9973351111111112, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""group_pref"", ""score"": 0.9933444444444445, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""region_risk"", ""score"": 0.15545840555555557, ""confidence"": 0.1565, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""region"", ""rhs"": ""group_pref"", ""score"": 0.06682145244444446, ""confidence"": 0.067, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""row_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""user_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_2"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_1"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}]",0,2,0.0,1.0,0.7363333333333333,0.7897344971813057,0.8443140637547228,0.5422575936903693,12
42,without_uniqueness_penalty,False,8,"[{""lhs"": ""row_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""region_risk"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""row_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""user_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_1"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_2"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_3"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""user_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}]",8,0,1.0,0.0,0.7466666666666667,0.8091851851851852,0.7447198793333869,0.5520411051684061,12
42,with_uniqueness_penalty,True,8,"[{""lhs"": ""region"", ""rhs"": ""region_risk"", ""score"": 0.9973351111111112, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""group_pref"", ""score"": 0.9933444444444445, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""region_risk"", ""score"": 0.15131947037037036, ""confidence"": 0.15233333333333332, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""region"", ""rhs"": ""group_pref"", ""score"": 0.0636632245925926, ""confidence"": 0.06383333333333334, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""row_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""user_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_2"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_1"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}]",0,2,0.0,1.0,0.7406666666666667,0.8082310185185185,0.7465746642902396,0.5544344481523139,12
43,without_uniqueness_penalty,False,8,"[{""lhs"": ""row_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""region_risk"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""row_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""user_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_1"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_2"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_3"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""user_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}]",8,0,1.0,0.0,0.6906666666666667,0.7564293151738549,0.6969466873314241,0.597261452100802,12
43,with_uniqueness_penalty,True,8,"[{""lhs"": ""region"", ""rhs"": ""region_risk"", ""score"": 0.9973351111111112, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""group_pref"", ""score"": 0.9933444444444445, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""region_risk"", ""score"": 0.15860399629629632, ""confidence"": 0.15966666666666668, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""region"", ""rhs"": ""group_pref"", ""score"": 0.06765256503703704, ""confidence"": 0.06783333333333333, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""row_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""user_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_2"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_1"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}]",0,2,0.0,1.0,0.6836666666666666,0.7533010499506587,0.695945654815387,0.6002645692629348,12
44,without_uniqueness_penalty,False,8,"[{""lhs"": ""row_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""region_risk"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""row_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""user_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_1"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_2"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_3"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""user_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}]",8,0,1.0,0.0,0.727,0.795420820503987,0.7559652375015751,0.5480609682313707,12
44,with_uniqueness_penalty,True,8,"[{""lhs"": ""region"", ""rhs"": ""region_risk"", ""score"": 0.9973351111111112, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""group_pref"", ""score"": 0.9933444444444445, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""region_risk"", ""score"": 0.15661730740740742, ""confidence"": 0.15766666666666668, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""region"", ""rhs"": ""group_pref"", ""score"": 0.06665522992592593, ""confidence"": 0.06683333333333333, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""row_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""user_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_2"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_1"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}]",0,2,0.0,1.0,0.7196666666666667,0.7935681911159918,0.7538870794206838,0.5490138065940744,12
45,without_uniqueness_penalty,False,8,"[{""lhs"": ""row_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""region_risk"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""row_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""user_hash"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_1"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_2"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""row_id"", ""rhs"": ""noise_3"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}, {""lhs"": ""user_id"", ""rhs"": ""group_pref"", ""score"": 1.0, ""confidence"": 1.0, ""lhs_unique_ratio"": 1.0, ""is_id_like"": true, ""is_meaningful"": false}]",8,0,1.0,0.0,0.7083333333333334,0.7730737127665737,0.7988737735294483,0.5765847759521028,12
45,with_uniqueness_penalty,True,8,"[{""lhs"": ""region"", ""rhs"": ""region_risk"", ""score"": 0.9973351111111112, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""group_pref"", ""score"": 0.9933444444444445, ""confidence"": 1.0, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": true}, {""lhs"": ""group"", ""rhs"": ""region_risk"", ""score"": 0.1524783722222222, ""confidence"": 0.1535, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""region"", ""rhs"": ""group_pref"", ""score"": 0.06615656237037038, ""confidence"": 0.06633333333333333, ""lhs_unique_ratio"": 0.0013333333333333333, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""row_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""user_hash"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_2"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}, {""lhs"": ""group"", ""rhs"": ""noise_1"", ""score"": 0.0033111481481481486, ""confidence"": 0.0033333333333333335, ""lhs_unique_ratio"": 0.0033333333333333335, ""is_id_like"": false, ""is_meaningful"": false}]",0,2,0.0,1.0,0.696,0.7776310064794391,0.8028689537649205,0.5716094134134401,12
