task_key,dataset,task,inspect_task,gate_outcome,status,error,train_rows,val_rows,target_train_columns,target_val_columns,table_schemas
rel-arxiv/author-category,rel-arxiv,author-category,author-category,SELECT,OK,,210769.0,39015.0,"date,Author_ID,primary_category","date,Author_ID,primary_category","authors:Author_ID,Name,ORCID | categories:Category_ID,Category | citations:Paper_ID,References_Paper_ID,Submission_Date | paperAuthors:Paper_ID,Author_ID,Submission_Date | paperCategories:Paper_ID,Category_ID,Submission_Date | papers:Paper_ID,arXiv_Code,Title,Abstract,Submission_Date,DOI,Primary_Category_ID"
rel-arxiv/paper-citation,rel-arxiv,paper-citation,paper-citation,FALLBACK,OK,,534233.0,155845.0,"date,Paper_ID,cited","date,Paper_ID,cited","authors:Author_ID,Name,ORCID | categories:Category_ID,Category | citations:Paper_ID,References_Paper_ID,Submission_Date | paperAuthors:Paper_ID,Author_ID,Submission_Date | paperCategories:Paper_ID,Category_ID,Submission_Date | papers:Paper_ID,arXiv_Code,Title,Abstract,Submission_Date,DOI,Primary_Category_ID"
rel-ratebeer/beer-churn,rel-ratebeer,beer-churn,beer-churn,SELECT,OK,,2470686.0,92367.0,"timestamp,beer_id,rating_churn","timestamp,beer_id,rating_churn","availability:avail_id,beer_id,place_id,postal_code,state_id,country_id,created_at,user_id,is_in_bottle,is_on_tap,is_out | beer_ratings:rating_id,user_id,beer_id,aroma,flavor,mouthfeel,appearance,overall,total_score,comments,created_at,updated_at,description_score,language,availability_id | beer_styles:style_id,name,description,parent_style_id,category,srm_range | beer_upcs:upc,beer_id,user_id | beers:beer_id,name,name_plain,brewer_id,style_id,alcohol_pct,ibu,is_seasonal,description,created_at,created_by,view_count,avg_rating,rating_count,Unrateable,is_one_off,is_alias,real_avg_rating,is_verified,is_retired,rating_std_dev,overall_percentile,style_percentile,tags,last_9m_avg,last_9m_count,updated_by,updated_at,admin_note,has_pic,straight_avg_rating,straight_rating_count,year4_avg,year4_overall,year4_style,year4_count | brewers:brewer_id,name,description,name_plain,address,city,state_id,country_id,zip_code,type_id,website,facebook,twitter,email,phone,barrels,opened_at,created_at,created_by,updated_at,beer_jobber_id,has_logo,view_count,score,is_out_of_business,out_of_business_date,is_retired,area_code,hours,metro_id,region_id,admin_note,msrepl_tran_version,updated_by | countries:country_id,name,code,continent,has_brewer | favorites:favorite_id,created_at,user_id,beer_id,list_id | place_ratings:rating_id,user_id,place_id,ambiance,service,selection,food,value,overall,total_score,comments,created_at,updated_at | place_types:type_id,name | places:place_id,name,name_plain,description,type_id,address,city,city_plain,state_id,country_id,postal_code,phone,website,facebook,twitter,rating_text,has_taps,has_bottles,has_wifi,has_togo,has_singles,has_seasonals,has_real_ales,has_rare_beers,has_macros,has_glassware,has_smoking,has_cigars,allows_children,takes_reservations,has_patio,has_tv,has_games,scene,staff,parking,music,events,noise,seating,has_food,food_details,comments,hours,created_by,updated_by,created_at,phone_area_code,has_mail_order,has_intl_shipping,avg_rating,weighted_avg,bay_mean,percentile,rating_count,valid_rating_count,updated_at,currency,is_retired,is_geo_override,latitude,longitude,has_food_menu,has_beer_menu,has_pic,has_flights,score,creator_id | states:state_id,State,country_id,hasbrewer,msrepl_tran_version | users:user_id,beer_first_rating,beer_last_rating,beer_rating_count,avg_beer_rating,max_beer_rating,min_beer_rating,place_first_rating,place_last_rating,place_rating_count,avg_place_rating,max_place_rating,min_place_rating,favorite_count,created_at,updated_at,total_activity_count,user_type"
rel-ratebeer/beer_ratings-total_score_enriched,rel-ratebeer,beer_ratings-total_score_enriched,beer_ratings-total_score,FALLBACK,OK,,10620177.0,1227702.0,"created_at,rating_id,total_score","created_at,rating_id,total_score","availability:avail_id,beer_id,place_id,postal_code,state_id,country_id,created_at,user_id,is_in_bottle,is_on_tap,is_out | beer_ratings:rating_id,user_id,beer_id,aroma,flavor,mouthfeel,appearance,overall,total_score,comments,created_at,updated_at,description_score,language,availability_id | beer_styles:style_id,name,description,parent_style_id,category,srm_range | beer_upcs:upc,beer_id,user_id | beers:beer_id,name,name_plain,brewer_id,style_id,alcohol_pct,ibu,is_seasonal,description,created_at,created_by,view_count,avg_rating,rating_count,Unrateable,is_one_off,is_alias,real_avg_rating,is_verified,is_retired,rating_std_dev,overall_percentile,style_percentile,tags,last_9m_avg,last_9m_count,updated_by,updated_at,admin_note,has_pic,straight_avg_rating,straight_rating_count,year4_avg,year4_overall,year4_style,year4_count | brewers:brewer_id,name,description,name_plain,address,city,state_id,country_id,zip_code,type_id,website,facebook,twitter,email,phone,barrels,opened_at,created_at,created_by,updated_at,beer_jobber_id,has_logo,view_count,score,is_out_of_business,out_of_business_date,is_retired,area_code,hours,metro_id,region_id,admin_note,msrepl_tran_version,updated_by | countries:country_id,name,code,continent,has_brewer | favorites:favorite_id,created_at,user_id,beer_id,list_id | place_ratings:rating_id,user_id,place_id,ambiance,service,selection,food,value,overall,total_score,comments,created_at,updated_at | place_types:type_id,name | places:place_id,name,name_plain,description,type_id,address,city,city_plain,state_id,country_id,postal_code,phone,website,facebook,twitter,rating_text,has_taps,has_bottles,has_wifi,has_togo,has_singles,has_seasonals,has_real_ales,has_rare_beers,has_macros,has_glassware,has_smoking,has_cigars,allows_children,takes_reservations,has_patio,has_tv,has_games,scene,staff,parking,music,events,noise,seating,has_food,food_details,comments,hours,created_by,updated_by,created_at,phone_area_code,has_mail_order,has_intl_shipping,avg_rating,weighted_avg,bay_mean,percentile,rating_count,valid_rating_count,updated_at,currency,is_retired,is_geo_override,latitude,longitude,has_food_menu,has_beer_menu,has_pic,has_flights,score,creator_id | states:state_id,State,country_id,hasbrewer,msrepl_tran_version | users:user_id,beer_first_rating,beer_last_rating,beer_rating_count,avg_beer_rating,max_beer_rating,min_beer_rating,place_first_rating,place_last_rating,place_rating_count,avg_place_rating,max_place_rating,min_place_rating,favorite_count,created_at,updated_at,total_activity_count,user_type"
rel-ratebeer/brewer-dormant,rel-ratebeer,brewer-dormant,brewer-dormant,FALLBACK,OK,,98697.0,15840.0,"timestamp,brewer_id,dormant","timestamp,brewer_id,dormant","availability:avail_id,beer_id,place_id,postal_code,state_id,country_id,created_at,user_id,is_in_bottle,is_on_tap,is_out | beer_ratings:rating_id,user_id,beer_id,aroma,flavor,mouthfeel,appearance,overall,total_score,comments,created_at,updated_at,description_score,language,availability_id | beer_styles:style_id,name,description,parent_style_id,category,srm_range | beer_upcs:upc,beer_id,user_id | beers:beer_id,name,name_plain,brewer_id,style_id,alcohol_pct,ibu,is_seasonal,description,created_at,created_by,view_count,avg_rating,rating_count,Unrateable,is_one_off,is_alias,real_avg_rating,is_verified,is_retired,rating_std_dev,overall_percentile,style_percentile,tags,last_9m_avg,last_9m_count,updated_by,updated_at,admin_note,has_pic,straight_avg_rating,straight_rating_count,year4_avg,year4_overall,year4_style,year4_count | brewers:brewer_id,name,description,name_plain,address,city,state_id,country_id,zip_code,type_id,website,facebook,twitter,email,phone,barrels,opened_at,created_at,created_by,updated_at,beer_jobber_id,has_logo,view_count,score,is_out_of_business,out_of_business_date,is_retired,area_code,hours,metro_id,region_id,admin_note,msrepl_tran_version,updated_by | countries:country_id,name,code,continent,has_brewer | favorites:favorite_id,created_at,user_id,beer_id,list_id | place_ratings:rating_id,user_id,place_id,ambiance,service,selection,food,value,overall,total_score,comments,created_at,updated_at | place_types:type_id,name | places:place_id,name,name_plain,description,type_id,address,city,city_plain,state_id,country_id,postal_code,phone,website,facebook,twitter,rating_text,has_taps,has_bottles,has_wifi,has_togo,has_singles,has_seasonals,has_real_ales,has_rare_beers,has_macros,has_glassware,has_smoking,has_cigars,allows_children,takes_reservations,has_patio,has_tv,has_games,scene,staff,parking,music,events,noise,seating,has_food,food_details,comments,hours,created_by,updated_by,created_at,phone_area_code,has_mail_order,has_intl_shipping,avg_rating,weighted_avg,bay_mean,percentile,rating_count,valid_rating_count,updated_at,currency,is_retired,is_geo_override,latitude,longitude,has_food_menu,has_beer_menu,has_pic,has_flights,score,creator_id | states:state_id,State,country_id,hasbrewer,msrepl_tran_version | users:user_id,beer_first_rating,beer_last_rating,beer_rating_count,avg_beer_rating,max_beer_rating,min_beer_rating,place_first_rating,place_last_rating,place_rating_count,avg_place_rating,max_place_rating,min_place_rating,favorite_count,created_at,updated_at,total_activity_count,user_type"
rel-ratebeer/user-churn,rel-ratebeer,user-churn,user-churn,FALLBACK,INSPECT_FAILED,"Command '['fdhg-inspect', '--dataset', 'rel-ratebeer', '--task', 'user-churn', '--out-dir', '<REPRO_REPO>/outputs/gate_task_inspect/rel-ratebeer_user-churn']' returned non-zero exit status 1.",,,,,
rel-ratebeer/user-count,rel-ratebeer,user-count,user-count,SELECT,INSPECT_FAILED,"Command '['fdhg-inspect', '--dataset', 'rel-ratebeer', '--task', 'user-count', '--out-dir', '<REPRO_REPO>/outputs/gate_task_inspect/rel-ratebeer_user-count']' returned non-zero exit status 1.",,,,,
rel-ratebeer/user-place-liked_pairwise,rel-ratebeer,user-place-liked_pairwise,user-place-liked_pairwise,FALLBACK,INSPECT_FAILED,"Command '['fdhg-inspect', '--dataset', 'rel-ratebeer', '--task', 'user-place-liked_pairwise', '--out-dir', '<REPRO_REPO>/outputs/gate_task_inspect/rel-ratebeer_user-place-liked_pairwise']' returned non-zero exit status 1.",,,,,
rel-salt/item-incoterms,rel-salt,item-incoterms,item-incoterms,FALLBACK,OK,,1622787.0,293891.0,"CREATIONTIMESTAMP,ID,ITEMINCOTERMSCLASSIFICATION","CREATIONTIMESTAMP,ID,ITEMINCOTERMSCLASSIFICATION","address:ADDRESSID,COUNTRY,REGION | customer:CUSTOMER,ADDRESSID | salesdocument:SALESDOCUMENT,SALESOFFICE,SALESGROUP,CUSTOMERPAYMENTTERMS,SHIPPINGCONDITION,SALESDOCUMENTTYPE,SALESORGANIZATION,DISTRIBUTIONCHANNEL,ORGANIZATIONDIVISION,BILLINGCOMPANYCODE,TRANSACTIONCURRENCY,HEADERINCOTERMSCLASSIFICATION,CREATIONTIMESTAMP | salesdocumentitem:SALESDOCUMENT,SALESDOCUMENTITEM,PLANT,SHIPPINGPOINT,SALESDOCUMENTITEMCATEGORY,PRODUCT,SOLDTOPARTY,SHIPTOPARTY,BILLTOPARTY,PAYERPARTY,ITEMINCOTERMSCLASSIFICATION,CREATIONTIMESTAMP,ID"
rel-salt/item-plant,rel-salt,item-plant,item-plant,FALLBACK,OK,,1622787.0,293823.0,"CREATIONTIMESTAMP,ID,PLANT","CREATIONTIMESTAMP,ID,PLANT","address:ADDRESSID,COUNTRY,REGION | customer:CUSTOMER,ADDRESSID | salesdocument:SALESDOCUMENT,SALESOFFICE,SALESGROUP,CUSTOMERPAYMENTTERMS,SHIPPINGCONDITION,SALESDOCUMENTTYPE,SALESORGANIZATION,DISTRIBUTIONCHANNEL,ORGANIZATIONDIVISION,BILLINGCOMPANYCODE,TRANSACTIONCURRENCY,HEADERINCOTERMSCLASSIFICATION,CREATIONTIMESTAMP | salesdocumentitem:SALESDOCUMENT,SALESDOCUMENTITEM,PLANT,SHIPPINGPOINT,SALESDOCUMENTITEMCATEGORY,PRODUCT,SOLDTOPARTY,SHIPTOPARTY,BILLTOPARTY,PAYERPARTY,ITEMINCOTERMSCLASSIFICATION,CREATIONTIMESTAMP,ID"
